LLAVE_TIEMPO,LLAVE_PRODUCTO,UNIDADES_VENDIDAS,DOLARES_VENDIDOS,CANAL,LLAVE_CLIENTE,ESTADO_DESTINO,AÑO,MES,DIA,SEMANA_AÑO,TRIMESTRE,LINEA_PRODUCTO,TIPO_PRODUCTO,DESCRIPCION,COSTO,PRECIO_UNITARIO,NOMBRE_CLIENTE,EDAD_CLIENTE,GRUPO_EDAD_CLIENTE
20191104,339695,1,5800,Fort Lauderdale,1830,,2019,11,4,45,4,Musical instruments,Digital pianos,Yamaha CLP 785,4118.0,5800,Dalton Bender,38,"30, 40"
20190512,293442,1,14,Website,4814,US-Colorado,2019,5,12,19,2,Accesories,Strings,Ernie Ball Accoustic,10.78,14,Lexi Li,42,"40, 50"
20180905,239457,1,3509,Website,5185,US-Massachussets,2018,9,5,36,3,Musical instruments,Synths,Roland Fantom 8,2737.02,3509,Aiden Bray,31,"30, 40"
20191121,392001,1,1899,Fort Lauderdale,3388,,2019,11,21,47,4,Musical instruments,Guitars,Fender American Ultra Stratocaster,1500.21,1899,Charlee Nelson,53,"50, 60"
20180613,443553,1,159,Website,7557,US-Delaware,2018,6,13,24,2,Musical instruments,Strings,Cecilio CVN-300 violin,122.43,159,Frankie Cardenas,50,"40, 50"
20181108,421493,1,499,Fort Lauderdale,7701,,2018,11,8,45,4,Musical instruments,Woodwinds,Thomann Antique Tenor Sax,349.3,499,Shane Espinoza,34,"30, 40"
20191224,429913,1,3999,West Palm Beach,959,,2019,12,24,52,4,Musical instruments,Digital pianos,Yamaha CSP 150,2919.27,3999,Ciara Holland,58,"50, 60"
20190711,404408,1,1599,Website,5685,US-New Mexico,2019,7,11,28,3,Musical instruments,Percussion,DW Design Series 5 Drum Set,1135.29,1599,Damion Robbins,37,"30, 40"
20180612,324591,1,33,Website,6581,US-Georgia,2018,6,12,24,2,Accesories,Strings,D’Addario NYXL0942 Accoustic,25.08,33,Nia Kirk,65,"60, 70"
20190720,332661,1,4500,West Palm Beach,723,,2019,7,20,29,3,Musical instruments,Acoustic pianos,Yamaha UI Upright,3420.0,4500,Javier Larson,55,"50, 60"
20181230,246596,1,549,Fort Lauderdale,1709,,2018,12,30,52,4,Accesories,Pedals and amps,Roland Cube Street EX Amp,389.79,549,Madelyn Park,70,"60, 70"
20190220,359438,1,1899,Website,6920,US-Pennsylvania,2019,2,20,8,1,Musical instruments,Guitars,Fender American Ultra Telecaster,1405.26,1899,Ramon Houston,96,"90, 100"
20181115,416544,1,10799,West Palm Beach,483,,2018,11,15,46,4,Musical instruments,Digital pianos,Yamaha CVP 709,8207.24,10799,Lisa Schmitt,91,"90, 100"
